Hero.All	Pick Rate.Pct	Win Rate.Pct	On Fire.Pct	Elimination.Avg	Damage	Healing
Ana	4.54	46.78	10.76	10.8	3,452	7,906
Bastion	0.57	49.35	15.93	11.51	18,228	0
D.Va	9.54	52.1	9.84	26.19	13,363	0
Doomfist	1	50.94	8.52	20.61	8,464	0
Genji	5	50.34	12.12	24.47	11,815	0
Hanzo	1.98	46.46	14.05	20.73	12,356	0
Junkrat	4.3	51.15	12.7	21.76	15,955	0
Lucio	4.46	50.66	10.06	14.65	5,720	9,145
McCree	3.74	47.98	12.18	22.19	11,578	0
Mei	0.83	49.69	9.09	19.29	7,041	0
Mercy	8.55	50.68	2.24	1.5	378	11,906
Moira	9.72	50.97	8.61	23.51	6,452	10,799
Orisa	2.58	52.38	11.19	19.05	11,516	0
Pharah	2.63	50.07	13.35	23.8	14,312	0
Reaper	2.46	50.47	17.08	25.27	12,778	0
Reinhardt	7.16	51.45	9.21	17.96	9,380	0
Roadhog	4.62	49.14	9.43	20.62	12,358	0
Soldier: 76	3.8	49.63	11.15	23.9	13,832	1,821
Sombra	0.79	46.95	15.1	20.47	8,212	0
Symmetra	0.79	59.34	7.71	19.33	7,905	0
Torbjorn	0.72	55.2	13.91	21.46	12,333	0
Tracer	4.4	49.55	9.63	24.61	10,603	0
Widowmaker	2.57	48.66	10.05	20.39	9,227	0
Winston	4.44	49.15	6.56	23.68	8,209	0
Zarya	2.84	48.05	11.28	22.52	11,032	0
Zenyatta	5.99	53.46	8.76	16.46	8,489	6,936
